molecule_chembl_id,canonical_smiles,standard_value,Bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,standard_value_norm,pIC50_values
CHEMBL179527,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(C#N)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,195,active,581.076,6.40916,2,8,123.3,195,6.709965389
CHEMBL175726,CCCCCOc1ccc(Nc2c(C#N)cnc3cc(OCC)c(NC(=O)/C=C/CN(C)C)cc23)cc1Cl,894,active,536.076,6.52748,2,7,99.51,894,6.048662481
CHEMBL179659,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(C)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,111,active,570.093,6.8459,2,7,99.51,111,6.954677021
CHEMBL179123,CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,285,active,562.114,6.91758,2,7,99.51,285,6.54515514
CHEMBL180022,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,92,active,557.054,5.93248,2,8,112.4,92,7.036212173
CHEMBL179313,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,341,active,557.054,5.93248,2,8,112.4,341,6.467245621
CHEMBL176199,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccco4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,23,active,546.027,6.13048,2,8,112.65,23,7.638272164
CHEMBL175513,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,188,active,613.143,7.14718,2,9,112.4,188,6.725842151
CHEMBL175621,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccnc5ccccc45)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,238,active,607.114,7.08568,2,8,112.4,238,6.623423043
CHEMBL359629,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc5ccccc45)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,10,active,606.126,7.69068,2,7,99.51,10,8
CHEMBL178573,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc5ccccc5c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,15,active,606.126,7.69068,2,7,99.51,15,7.823908741
CHEMBL360662,CCOc1cc2ncc(C#N)c(Nc3ccc(O[C@H](C)c4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,100,active,570.093,7.09848,2,7,99.51,100,7
CHEMBL427315,CCOc1cc2ncc(C#N)c(Nc3ccc(O[C@@H](C)c4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,770,active,570.093,7.09848,2,7,99.51,770,6.113509275
CHEMBL179577,CCOc1cc2ncc(C#N)c(Nc3ccc(NCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,45,active,555.082,6.57058,3,7,102.31,45,7.346787486
CHEMBL179766,CCOc1cc2ncc(C#N)c(Nc3ccc(NCc4cccc5ccccc45)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,34,active,605.142,7.72378,3,7,102.31,34,7.468521083
CHEMBL179521,COc1cc2ncc(C#N)c(Nc3ccc(NCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,400,active,541.055,6.18048,3,7,102.31,400,6.397940009
CHEMBL179633,COc1cc2ncc(C#N)c(Nc3ccc(NCc4cccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,72,active,542.043,5.57548,3,8,115.2,72,7.142667504
CHEMBL178096,COc1cc2ncc(C#N)c(Nc3ccc(NCNc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,210,active,556.07,6.04988,4,8,114.34,210,6.677780705
CHEMBL178144,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCOC,68,active,600.119,6.55408,2,8,108.74,68,7.167491087
CHEMBL361343,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCO,20,active,586.092,5.89998,3,8,119.74,20,7.698970004
CHEMBL2112990,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,719,active,721.211,2.84818,8,13,212.69,719,6.14327111
CHEMBL369088,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(CC(C)O)CC(C)O,98,active,644.172,6.03948,4,9,139.97,98,7.008773924
CHEMBL178958,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCC1COC,151,active,626.157,7.08668,2,8,108.74,151,6.821023053
CHEMBL360958,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,31,active,596.131,7.46178,2,7,99.51,31,7.508638306
CHEMBL362611,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(O)CC1,221,active,612.13,6.43258,3,8,119.74,221,6.655607726
CHEMBL362824,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(O)(O)CC1,282,active,628.129,5.75258,4,9,139.97,282,6.549750892
CHEMBL153763,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1C(C)CCCC1C,247,active,624.185,8.23878,2,7,99.51,247,6.607303047
CHEMBL175556,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,20,active,598.103,6.30808,2,8,108.74,20,7.698970004
CHEMBL175557,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCSCC1,16,active,614.171,7.02468,2,8,99.51,16,7.795880017
CHEMBL360933,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,360,active,611.146,6.22328,2,8,102.75,360,6.443697499
CHEMBL368702,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC1,26,active,568.077,6.68158,2,7,99.51,26,7.585026652
CHEMBL359660,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CC1C(=O)OC,343,active,612.086,5.83308,2,9,125.58,343,6.46470588
CHEMBL360211,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCCOCCOCC1,321,active,686.209,6.34128,2,10,127.2,321,6.493494968
CHEMBL178312,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCC1,78,active,582.104,7.07168,2,7,99.51,78,7.107905397
CHEMBL359630,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/Cc1c[nH]cn1,24,active,579.06,6.94168,3,7,124.95,24,7.619788758
CHEMBL367792,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1cccc2cccnc12,990,active,626.116,8.68128,2,7,109.16,990,6.004364805
CHEMBL359705,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1ccccc1N(C)C,1569,active,618.137,8.19908,2,7,99.51,1569,5.804377056
CHEMBL368234,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1cn(C)cn1,255,active,579.06,6.86658,2,8,114.09,255,6.59345982
CHEMBL179969,C=CS(=O)(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,45,active,535.025,6.36638,2,7,113.34,45,7.346787486
CHEMBL175492,C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,223,active,556.066,6.53748,2,7,99.51,223,6.651695137
CHEMBL367754,C=C(CNc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC)C(=O)O,1191,active,528.996,6.53388,3,7,116.5,1191,5.924088239
CHEMBL360519,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4Cl)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,11,active,590.511,7.19088,2,7,99.51,11,7.958607315
CHEMBL179458,COc1cc2ncc(C#N)c(Nc3ccc(-n4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,770,active,501.978,4.75408,2,8,108.1,770,6.113509275
CHEMBL178265,CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccncc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,650,active,543.027,6.14578,2,8,112.4,650,6.187086643
CHEMBL179572,COc1cc2ncc(C#N)c(Nc3ccc(Sc4nccs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,42,active,551.097,6.17608,2,9,103.17,42,7.37675071
CHEMBL179074,CCOc1cc2ncc(C#N)c(Nc3ccc(Cn4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,519,active,530.032,5.20328,2,8,108.1,519,6.284832642
CHEMBL178922,CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,12700,active,535.048,4.79508,2,8,102.75,12700,4.896196279
CHEMBL434720,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,53,active,556.066,6.53748,2,7,99.51,53,7.27572413
CHEMBL175933,COc1cc2ncc(C#N)c(Nc3ccc(Sc4ncccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,403,active,546.056,5.50958,2,9,116.06,403,6.394694954
CHEMBL175558,COc1cc2ncc(C#N)c(Nc3ccc(Sc4ncc(-c5ccccc5)s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,32,inactive,627.195,7.84308,2,9,103.17,32,7.494850022
CHEMBL367492,CCOc1cc2ncc(C#N)c(Nc3ccc(Sc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,125,inactive,641.222,8.23318,2,9,103.17,125,6.903089987
CHEMBL360979,COc1cc2ncc(C#N)c(Nc3ccc(Cc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,214,inactive,609.155,7.28268,2,8,103.17,214,6.669586227
CHEMBL175840,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nccn4C)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,500,inactive,560.058,5.27098,2,9,117.33,500,6.301029996
CHEMBL180018,CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,445,inactive,542.039,6.75078,2,7,99.51,445,6.351639989
CHEMBL179652,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,100,inactive,544.659,6.30808,2,7,95.21,100,7
CHEMBL180227,COc1cc2ncc(C#N)c(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,130,active,531.62,5.31298,2,8,108.1,130,6.886056648
CHEMBL179310,CCOc1cc2ncc(C#N)c(Nc3ccc4c(c3)CCN4Cc3ccccc3)c2cc1NC(=O)/C=C/CN(C)C,340,active,546.675,5.86778,2,7,93.52,340,6.468521083
CHEMBL178455,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,10000,active,469.419,6.1056,2,5,81.71,10000,5
CHEMBL181275,Fc1ccc(Nc2ncnc3nn4ccccc4c23)cc1Cl,200,active,313.723,3.8136,1,5,55.11,200,6.698970004
CHEMBL182254,Fc1cccc(COc2ccc(Nc3ncnc4nn5ccccc5c34)cc2Cl)c1,32,active,419.847,5.3926,1,6,64.34,32,7.494850022
CHEMBL181742,Clc1cc(Nc2ncnc3nn4ccccc4c23)ccc1OCc1ccccc1,50,active,401.857,5.2535,1,6,64.34,50,7.301029996
CHEMBL368891,Nc1ncnc2nn3ccccc3c12,10000,active,185.19,0.8597,1,5,69.1,10000,5
CHEMBL361322,c1ccc(Cc2nc3cc(Nc4ncnc5nn6ccccc6c45)ccc3[nH]2)cc1,5010,active,391.438,4.4882,2,6,83.79,5010,5.300162274
CHEMBL181617,ClCCNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,10,active,377.673,4.7866,2,4,49.84,10,8
CHEMBL179451,ClCCNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,26,active,333.222,4.6775,2,4,49.84,26,7.585026652
CHEMBL186802,COc1cc2ncnc(Nc3cccc(NC(=O)c4ccccc4)c3)c2cc1OC,5600,active,400.438,4.6429,2,6,85.37,5600,5.251811973
CHEMBL186580,COc1cc2ncnc(Nc3cc(NC(=O)c4ccccc4)c(F)cc3F)c2cc1OC,490,active,436.418,4.9211,2,6,85.37,490,6.30980392
CHEMBL185327,COc1cc2ncnc(Nc3cc(NC(=O)c4ccccc4)ccc3Cl)c2cc1OC,11000,active,434.883,5.2963,2,6,85.37,11000,4.958607315
CHEMBL184555,COc1cc2ncnc(Nc3cc(NC(=O)c4ccccc4)ccc3C)c2cc1OC,33000,active,414.465,4.95132,2,6,85.37,33000,4.48148606
CHEMBL186747,COc1cc2ncnc(Nc3ccc(C)c(NC(=O)c4ccccc4)c3)c2cc1OC,3200,active,414.465,4.95132,2,6,85.37,3200,5.494850022
CHEMBL182397,COc1cc2ncnc(Nc3cccc(NC(=O)c4ccccc4)c3F)c2cc1OC,2800,active,418.428,4.782,2,6,85.37,2800,5.552841969
CHEMBL360209,COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4ccccc4)c3)c2cc1OC,2200,active,434.883,5.2963,2,6,85.37,2200,5.657577319
CHEMBL365830,COc1cc2ncnc(Nc3cccc(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,33000,active,443.507,4.7089,2,7,88.61,33000,4.48148606
CHEMBL187007,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(N(C)C)c4)ccc3Cl)c2cc1OC,29000,active,477.952,5.3623,2,7,88.61,29000,4.537602002
CHEMBL364576,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(N(C)C)c4)ccc3C)c2cc1OC,33000,active,457.534,5.01732,2,7,88.61,33000,4.48148606
CHEMBL184682,COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,1000,active,477.952,5.3623,2,7,88.61,1000,6
CHEMBL184052,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(N5CCOCC5)c4)ccc3C)c2cc1OC,33000,active,499.571,4.78792,2,8,97.84,33000,4.48148606
CHEMBL185637,Fc1ccc(Nc2ncnn3cccc23)cc1Cl,110,active,262.675,3.2654,1,4,42.22,110,6.958607315
CHEMBL188304,Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12,100,active,276.702,3.57382,1,4,42.22,100,7
CHEMBL186080,Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnn2c1,150,active,276.702,3.57382,1,4,42.22,150,6.823908741
CHEMBL184311,Cc1ccc2c(Nc3ccc(F)c(Cl)c3)ncnn12,3250,active,276.702,3.57382,1,4,42.22,3250,5.488116639
CHEMBL185853,Cc1ccc(Nc2ncnn3cccc23)cc1O,510,active,240.266,2.48692,2,5,62.45,510,6.292429824
CHEMBL188522,Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,340,active,254.293,2.79534,2,5,62.45,340,6.468521083
CHEMBL184750,Cc1cc2c(Nc3ccc(C)c(O)c3)ncnn2c1,650,active,254.293,2.79534,2,5,62.45,650,6.187086643
CHEMBL187431,Cc1ccc(Nc2ncnn3c(C)ccc23)cc1O,29400,active,254.293,2.79534,2,5,62.45,29400,4.53165267
CHEMBL186001,Cc1ccc(Nc2ncnn3cc(C)c(C)c23)cc1O,200,active,268.32,3.10376,2,5,62.45,200,6.698970004
CHEMBL189338,Cc1cccc(Cl)c1Nc1nc2ccc(N3CCN[C@@H](C)C3)nc2n2cncc12,1000,active,407.909,3.78102,2,7,70.38,1000,6
CHEMBL188386,OCCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,7400,active,369.856,4.12,3,6,82.96,7400,5.13076828
CHEMBL190984,CN(C)CCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,10000,active,368.872,3.9091,2,6,65.97,10000,5
CHEMBL188502,Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1,10000,active,416.916,5.3753,2,6,75.62,10000,5
CHEMBL363130,Cc1ccsc1C(=O)n1nc(Nc2ccc(S(N)(=O)=O)cc2)nc1N,8400,active,378.439,1.30972,3,9,145.99,8400,5.075720714
CHEMBL261720,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,10000,active,425.446,1.7746,4,8,140.95,10000,5
CHEMBL191003,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,100000,active,394.363,1.218,3,8,145.99,100000,4
CHEMBL363607,Cc1ccc(F)c(C(=O)n2nc(Nc3ccc(S(N)(=O)=O)cc3)nc2C)c1F,45800,active,407.402,2.25264,2,7,119.97,45800,4.339134522
CHEMBL1788116,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10000,active,372.457,3.93618,2,7,86.52,10000,5
CHEMBL190567,COCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,150,inactive,434.237,3.5629,2,5,76.14,150,6.823908741
CHEMBL275762,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.07,inactive,399.64,4.9966,2,4,66.91,0.07,10.15490196
CHEMBL193159,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,32,inactive,391.656,4.3132,2,4,66.91,32,7.494850022
